iter	RMSE
0	14.88046822
1	14.748738
2	14.63570791
3	14.53246256
4	14.43106615
5	14.33944561
6	14.25659151
7	14.16676184
8	14.0854283
9	14.04265665
10	13.9675466
11	13.89665428
12	13.83788995
13	13.76246574
14	13.70128202
15	13.65183115
16	13.59866434
17	13.54693401
18	13.49296925
19	13.44264949
20	13.39536017
21	13.3445704
22	13.3016165
23	13.26610554
24	13.2220504
25	13.18580299
26	13.15263731
27	13.11873091
28	13.08413185
29	13.05391412
30	13.02409629
31	12.99218295
32	12.96862903
33	12.94538623
34	12.93403447
35	12.91950997
36	12.89928974
37	12.8931569
38	12.87303116
39	12.86143303
40	12.83863995
41	12.81595203
42	12.796728
43	12.78074348
44	12.76216048
45	12.74388327
46	12.72866256
47	12.71432977
48	12.70355774
49	12.69667108
50	12.68178206
51	12.66731829
52	12.65044068
53	12.63755081
54	12.62328982
55	12.61504343
56	12.60744114
57	12.59257982
58	12.58126097
59	12.57030178
60	12.55754474
61	12.54307506
62	12.53663639
63	12.52762018
64	12.52220827
65	12.5101595
66	12.5047476
67	12.5000019
68	12.49776197
69	12.48729009
70	12.47823321
71	12.46939978
72	12.45784073
73	12.45410183
74	12.44868274
75	12.44356008
76	12.43853175
77	12.43094855
78	12.41929525
79	12.41267185
80	12.41102825
81	12.40172658
82	12.39243994
83	12.37897973
84	12.37326552
85	12.36351034
86	12.35741882
87	12.35468846
88	12.35348023
89	12.35076651
90	12.34386931
91	12.34289765
92	12.33486576
93	12.32936807
94	12.32478505
95	12.31823145
96	12.3161686
97	12.31508284
98	12.30417366
99	12.29867167
100	12.29271052
101	12.28980882
102	12.2892488
103	12.28180083
104	12.276445
105	12.2750619
106	12.27202438
107	12.26799073
108	12.26468854
109	12.25912938
110	12.25290745
111	12.24621849
112	12.24213365
113	12.23700747
114	12.22983062
115	12.22348517
116	12.21830236
117	12.21253343
118	12.21237653
119	12.21116482
120	12.20544168
121	12.20153995
122	12.20049515
123	12.19756069
124	12.1959953
125	12.19097985
126	12.18455756
127	12.18053333
128	12.17667845
129	12.17205332
130	12.16560919
131	12.16294669
132	12.15783161
133	12.15704078
134	12.15459926
135	12.15054531
136	12.14743377
137	12.1448924
138	12.14093895
139	12.1374311
140	12.13225171
141	12.1281851
142	12.12797592
143	12.12756931
144	12.12268939
145	12.11882917
146	12.11523858
147	12.11222789
148	12.11209322
149	12.10755519
150	12.10386467
151	12.10044003
152	12.09924436
153	12.09414424
154	12.09148995
155	12.08810881
156	12.08277571
157	12.07796362
158	12.07394934
159	12.06995029
160	12.06989072
161	12.06658726
162	12.06521191
163	12.06178534
164	12.061307
165	12.05566187
166	12.05125276
167	12.0468941
168	12.04646566
169	12.04288235
170	12.0427337
171	12.04033606
172	12.03705732
173	12.03361782
174	12.03219757
175	12.02880501
176	12.02283585
177	12.01858521
178	12.0179631
179	12.01504172
180	12.01313379
181	12.01007182
182	12.0100551
183	12.00561597
184	12.00015913
185	11.99660174
186	11.99353086
187	11.99147549
188	11.98817597
189	11.98393256
190	11.97916763
191	11.97481348
192	11.97143149
193	11.96920785
194	11.96616052
195	11.96133058
196	11.95960804
197	11.95581737
198	11.95245018
199	11.94944735
200	11.94777804
201	11.94422286
202	11.94144533
203	11.93853928
204	11.93372728
205	11.93024606
206	11.92817428
207	11.9229574
208	11.91953323
209	11.9155492
210	11.9134563
211	11.91052472
212	11.9068604
213	11.9055259
214	11.90181978
215	11.89857356
216	11.89499339
217	11.89212933
218	11.88943853
219	11.88595524
220	11.88282412
221	11.88044962
222	11.8772893
223	11.87414219
224	11.87102101
225	11.86914528
226	11.86663143
227	11.86318149
228	11.86107246
229	11.85979687
230	11.85825581
231	11.8571356
232	11.85393981
233	11.85204375
234	11.85104508
235	11.84872343
236	11.84658499
237	11.84381286
238	11.8414989
239	11.84048849
240	11.83849505
241	11.83671663
242	11.83516602
243	11.83085823
244	11.82941021
245	11.82740281
246	11.82590094
247	11.82447933
248	11.82186255
249	11.81901697
250	11.8163841
251	11.81344485
252	11.81141045
253	11.80979388
254	11.80896904
255	11.80814409
256	11.80532192
257	11.80330478
258	11.80163979
259	11.79979531
260	11.79833251
261	11.79681718
262	11.79449936
263	11.79213773
264	11.79042791
265	11.7888916
266	11.78659502
267	11.78429757
268	11.78163638
269	11.77823514
270	11.77677789
271	11.77505249
272	11.77392529
273	11.77218806
274	11.77073327
275	11.7694719
276	11.76845186
277	11.76663098
278	11.76510412
279	11.76365092
280	11.76230131
281	11.76103933
282	11.75874617
283	11.75688707
284	11.75442144
285	11.75274036
286	11.7515654
287	11.74903673
288	11.74788086
289	11.74584185
290	11.74490192
291	11.74393431
292	11.74281138
293	11.74150041
294	11.73983
295	11.73701479
296	11.73579069
297	11.73476679
298	11.73306719
299	11.7311342
300	11.72997259
301	11.72798989
302	11.72639308
303	11.72350244
304	11.7207596
305	11.72014925
306	11.71908377
307	11.71810147
308	11.71561603
309	11.71461993
310	11.71342055
311	11.71189475
312	11.7108224
313	11.70903234
314	11.70794574
315	11.70652379
316	11.70556775
317	11.70465977
318	11.70377941
319	11.70298687
320	11.70165507
321	11.69976737
322	11.6983349
323	11.69678896
324	11.69523714
325	11.6938011
326	11.69189338
327	11.69150601
328	11.69025601
329	11.68931561
330	11.68802903
331	11.6869122
332	11.68639877
333	11.68444457
334	11.68228951
335	11.68151211
336	11.68076548
337	11.67844604
338	11.67786317
339	11.67622942
340	11.67561827
341	11.67481256
342	11.67424009
343	11.67245737
344	11.67192767
345	11.6710333
346	11.66928353
347	11.66847558
348	11.66774906
349	11.66655458
350	11.6654429
351	11.66491159
352	11.66412693
353	11.66208058
354	11.66091739
355	11.65954692
356	11.65898793
357	11.65832257
358	11.65689329
359	11.65608542
360	11.65550426
361	11.65478159
362	11.65376944
363	11.65301644
364	11.65242548
365	11.65053734
366	11.64947558
367	11.64822925
368	11.6470722
369	11.64601794
370	11.64546236
371	11.64372381
372	11.64247262
373	11.64179447
374	11.64122333
375	11.6400285
376	11.63946972
377	11.63852394
378	11.63774803
379	11.63605425
380	11.63530542
381	11.63389651
382	11.63276265
383	11.63184816
384	11.63112208
385	11.6305096
386	11.62961531
387	11.62873544
388	11.6278315
389	11.62704336
390	11.62619505
391	11.6250596
392	11.62449262
393	11.623766
394	11.62290972
395	11.62197617
396	11.62081339
397	11.62035178
398	11.61988846
399	11.61955509
400	11.61911491
401	11.6188255
